order_id,customer_id,order_date,total_amount,status,created_at
e3aee955-6a62-4a94-988b-81d92da92574,199cdf9d-8e8f-4767-8bfc-bdff21244389,2023-10-23,8549.39,completed,2023-10-23
0f5a56d1-d5c7-4db7-aef2-259ce4947ffa,199cdf9d-8e8f-4767-8bfc-bdff21244389,2023-11-08,10445.07,completed,2023-11-08
2e32deef-72bb-4684-b767-6d1f44672e2a,199cdf9d-8e8f-4767-8bfc-bdff21244389,2023-11-20,328.22,completed,2023-11-20
bcdeb675-f391-4451-b76f-048a4869a089,9b6566b7-e3e7-4c2c-8349-2d3ad5c63f8d,2023-08-05,12889.49,completed,2023-08-05
7a0968c9-4fc4-43a6-ae5b-2849b9535778,f36180a5-6f00-4047-becc-e0437195ea65,2023-09-20,4678.32,cancelled,2023-09-20
d51c392f-bf2b-4d2c-a188-4b1b17279409,af5c9232-1de1-4b6f-ad4a-96b85af80750,2023-07-09,2977.85,completed,2023-07-09
107e8156-2c3b-4d43-839e-0916ef07fd36,ad0fb883-63f8-4ac0-a866-6dc324ceee12,2023-07-17,128.55,completed,2023-07-17
a764f78c-d3e4-43f4-aa9f-86b6c18e465c,55cd8650-5be5-44ea-8e02-8ed0a4a58417,2023-09-01,11628.67,completed,2023-09-01
6f053c89-506f-4281-83a6-0d50d4a20747,2c351794-851c-41bc-816c-85d7e99942ba,2023-10-24,1369.09,completed,2023-10-24
9e70e89f-6b95-4a4c-93a5-951699bc40eb,2c351794-851c-41bc-816c-85d7e99942ba,2023-10-31,325.52,completed,2023-10-31
9559163d-8662-4bec-b9c7-1b39fb4e82ad,2c351794-851c-41bc-816c-85d7e99942ba,2023-11-07,14593.84,completed,2023-11-07
e81444d4-f525-4c9b-b57d-3f2d649b3225,2c351794-851c-41bc-816c-85d7e99942ba,2023-11-15,13374.9,completed,2023-11-15
14a0caad-1a8d-421f-a1a6-c8b78ee9a1fe,2c351794-851c-41bc-816c-85d7e99942ba,2023-11-25,2876.24,completed,2023-11-25
bb96373d-8c10-49d4-ab6f-f8e2c87b3769,d64a4484-d11b-4bbf-a313-fe8f27d98522,2023-05-03,9990.32,completed,2023-05-03
3e2ec2b6-a9d2-40a5-ba78-fe46f68ec19e,08139617-a35a-40b7-b0a0-e1c983b5d233,2023-07-17,15599.47,completed,2023-07-17
1efdba7c-e633-4cf9-8a15-1c38a933d003,8db94404-c328-4657-9e3f-0311da4e0cc6,2022-12-19,16045.41,completed,2022-12-19
7782d291-4c82-49f4-8472-8454908f3196,a97d179e-feee-427b-93d7-ca5abef1f669,2023-02-11,8298.6,cancelled,2023-02-11
3585913f-7940-4a2e-b5d0-680be79877c3,b482efb5-5fe2-4a6d-b6ec-ca53fca814fb,2023-06-12,9826.2,completed,2023-06-12
a9dcf627-f671-4366-ad71-6881ef4ad29b,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-11-02,5598.57,completed,2022-11-02
74bf3c2b-89e6-4a64-a475-293e2d6f6d4c,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-11-07,9002.94,completed,2022-11-07
95b3b3e7-e74f-4c2c-b166-6dd329dec566,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-11-15,14966.75,completed,2022-11-15
1a2b334d-5471-44f1-a7d8-59702be0a0a1,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-11-24,8304.73,completed,2022-11-24
eb6342e8-0afb-490d-b262-dcca4952b9c6,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-12-04,3671.72,completed,2022-12-04
5592adb5-caad-4249-aea3-d7a0d7adbe51,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-12-14,8151.43,completed,2022-12-14
646fac13-4ca0-42c7-983e-fa56ad0af8c1,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-12-22,2159.28,completed,2022-12-22
14b3e3ba-77af-415a-9c88-4bfdffdf034b,dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-12-31,734.59,completed,2022-12-31
d08031d0-dc7e-43dd-b250-709af92b920f,e8be336b-9be7-452f-80e1-d2748d4afbd7,2023-02-21,8342.77,completed,2023-02-21
1ca98bbc-3dd2-4ad9-bbbd-b1f6f49aee7a,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-05-29,18242.89,completed,2023-05-29
20944479-236d-461d-bce8-7d59f26e5da6,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-06-05,239.64,completed,2023-06-05
ba0f2730-b6a5-4056-8c80-b7ab32338ac6,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-06-14,753.98,completed,2023-06-14
9aee6762-f034-4487-9c19-530af3fc7ef7,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-06-20,2364.69,completed,2023-06-20
13381407-5116-4deb-bc0d-95144bde85ce,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-06-29,9131.15,completed,2023-06-29
8ccd19f1-9077-40f8-b30b-25236f3657d2,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-07-09,6742.37,completed,2023-07-09
93009730-e5bb-4e1c-bed7-bafb73990ce7,901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-07-17,6487.27,cancelled,2023-07-17
9eccb61e-f3e0-43de-ae34-fefdb735347d,ce7d764e-2d62-4c04-916a-267d768fc029,2023-09-11,10989.63,completed,2023-09-11
e94e7a4b-86db-43d2-87ad-a9aa0879cfa5,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-02-06,2395.46,completed,2023-02-06
f1225d59-bc68-4b64-a125-a6001cfb2963,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-02-15,1715.91,completed,2023-02-15
a9ac31a7-c461-441e-a0b5-e04d5019871d,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-02-20,21384.77,completed,2023-02-20
948d889d-01c4-4e2d-a8b9-288b62c85244,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-02-27,6169.97,completed,2023-02-27
c4267985-3469-4b78-a0e0-dd9f0ec001d6,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-03-06,1823.04,completed,2023-03-06
604f88ee-5f74-44a0-b348-de8588ba2653,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-03-14,2922.08,completed,2023-03-14
93a0fede-3d4b-4eb5-8c4a-75037d0a7ed0,1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-03-23,4159.64,completed,2023-03-23
8da6e9d5-7230-4648-80c3-34450a2b93d7,ad005c78-ff52-4b7d-958c-2cc9897e8b5f,2022-12-31,2690.6,completed,2022-12-31
7cdf980c-4480-4211-bd3f-9e0b23cb56df,ad005c78-ff52-4b7d-958c-2cc9897e8b5f,2023-01-09,143.28,completed,2023-01-09
e66d6bd0-cebc-4478-9cb5-e59ea209b49b,ad005c78-ff52-4b7d-958c-2cc9897e8b5f,2023-01-18,6420.68,cancelled,2023-01-18
cd0da66f-9c36-4a73-8c89-669232e966d5,ad005c78-ff52-4b7d-958c-2cc9897e8b5f,2023-01-28,5346.67,cancelled,2023-01-28
30361789-eeeb-400d-9322-dd6d61dcba25,ad005c78-ff52-4b7d-958c-2cc9897e8b5f,2023-02-07,5185.32,completed,2023-02-07
c10887d2-c3fe-442b-9a2d-b0db81f14604,875480a3-8ea8-48f7-92ae-55245fbe246b,2023-08-16,353.69,completed,2023-08-16
82a9d735-461a-4d8a-b674-74012a016ecb,875480a3-8ea8-48f7-92ae-55245fbe246b,2023-09-03,7032.47,completed,2023-09-03
b1c31346-4292-41b5-9991-3b976c01c03b,875480a3-8ea8-48f7-92ae-55245fbe246b,2023-09-17,1656.59,completed,2023-09-17
c7bf7c2c-7146-4686-9e95-c0723b1a4b73,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-06-13,3119.73,completed,2023-06-13
c396b50b-8f91-4de4-9e80-4a40e8197fd3,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-06-19,14771.62,completed,2023-06-19
6ea39c50-5d34-4030-a6af-89310dcaa589,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-06-27,9137.69,completed,2023-06-27
1566a105-e9c5-43a8-9315-65f635bd0511,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-07-03,13288.87,completed,2023-07-03
c1d0d9ad-4b41-4581-827d-cd3b1695d1fc,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-07-09,944.7,cancelled,2023-07-09
5fc9849e-0dc6-42b0-97e8-68e180cfc241,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-07-19,55.29,completed,2023-07-19
5d8d2fee-d5f4-4ce2-b464-b7509eddf2bc,4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-07-28,8410.03,cancelled,2023-07-28
c8d67b32-b38e-4a44-a2c3-b42874ac56e0,0a10fa74-0851-4b6c-9728-91d0bae89680,2023-04-29,3195.77,completed,2023-04-29
44e7ac0a-ff9e-482e-9ec6-b5445d73f9f9,39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-05-07,3593.11,cancelled,2023-05-07
e38f62dc-3b4d-47ac-920f-0840e99f590d,39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-05-16,15531.81,cancelled,2023-05-16
c89e8ce2-2d02-4285-bd3e-ef4315fe0a20,39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-05-22,1999.61,completed,2023-05-22
205ae481-ba0d-4f17-a2d4-3052870c01af,39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-06-01,2259.32,completed,2023-06-01
709042b4-c024-4172-85f2-78f4a1305053,39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-06-06,1378.66,completed,2023-06-06
828df0b7-5744-46fd-ae97-f02be5ab7b42,39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-06-13,3771.53,completed,2023-06-13
54c10bc4-122e-4a54-9dce-59cb935ad27e,0e1ace8a-733e-4d39-816e-a48bef14ce3e,2023-05-20,3725.77,completed,2023-05-20
