customer_id,signup_date,customer_type,city,created_at
199cdf9d-8e8f-4767-8bfc-bdff21244389,2023-10-07,occasional,Cairo,2023-10-07 06:16:52
9b6566b7-e3e7-4c2c-8349-2d3ad5c63f8d,2023-06-16,one_time,Alex,2023-06-16 10:47:32
f36180a5-6f00-4047-becc-e0437195ea65,2023-07-27,one_time,Mansoura,2023-07-27 13:51:20
af5c9232-1de1-4b6f-ad4a-96b85af80750,2023-05-30,one_time,Mansoura,2023-05-30 22:26:58
ad0fb883-63f8-4ac0-a866-6dc324ceee12,2023-06-02,one_time,Alex,2023-06-02 21:07:45
55cd8650-5be5-44ea-8e02-8ed0a4a58417,2023-07-19,one_time,Giza,2023-07-19 07:50:01
2c351794-851c-41bc-816c-85d7e99942ba,2023-10-15,loyal,Cairo,2023-10-15 13:14:20
d64a4484-d11b-4bbf-a313-fe8f27d98522,2023-04-01,one_time,Cairo,2023-04-01 06:09:41
08139617-a35a-40b7-b0a0-e1c983b5d233,2023-05-27,one_time,Mansoura,2023-05-27 02:42:17
8db94404-c328-4657-9e3f-0311da4e0cc6,2022-10-30,one_time,Mansoura,2022-10-30 06:00:29
a97d179e-feee-427b-93d7-ca5abef1f669,2023-01-02,one_time,Alex,2023-01-02 15:22:06
b482efb5-5fe2-4a6d-b6ec-ca53fca814fb,2023-04-23,one_time,Tanta,2023-04-23 20:05:21
dad320d9-844c-4b9a-a994-b82f5ddbccbc,2022-10-25,loyal,Giza,2022-10-25 19:36:36
e8be336b-9be7-452f-80e1-d2748d4afbd7,2022-12-30,one_time,Mansoura,2022-12-30 23:17:03
901937c7-5a9f-4aac-a8e1-a5a149239c79,2023-05-21,loyal,Tanta,2023-05-21 20:45:19
ce7d764e-2d62-4c04-916a-267d768fc029,2023-08-09,one_time,Mansoura,2023-08-09 13:52:57
1806fa2c-5e43-4020-a9cb-8ae86dbc3be0,2023-01-26,loyal,Alex,2023-01-26 16:15:08
ad005c78-ff52-4b7d-958c-2cc9897e8b5f,2022-12-25,loyal,Tanta,2022-12-25 13:51:32
875480a3-8ea8-48f7-92ae-55245fbe246b,2023-07-31,occasional,Tanta,2023-07-31 05:47:04
4115ee82-c7d4-4f58-9c1c-6bacf4dbf77f,2023-06-04,loyal,Alex,2023-06-04 07:25:26
0a10fa74-0851-4b6c-9728-91d0bae89680,2023-03-28,one_time,Cairo,2023-03-28 09:17:25
39752c2b-98d3-412f-9f5b-9ed1217f9d3c,2023-04-27,loyal,Giza,2023-04-27 10:26:07
0e1ace8a-733e-4d39-816e-a48bef14ce3e,2023-04-01,one_time,Tanta,2023-04-01 16:43:25
d65694d9-603a-4ea5-a4d3-092d6e8b05ba,2023-11-27,loyal,Tanta,2023-11-27 13:47:35
4a109674-6595-46cf-9ef0-dbb62f5116a0,2023-01-11,one_time,Mansoura,2023-01-11 17:24:18
ea7eb31f-76a9-4bda-b782-c4aa4a821ff5,2023-01-18,one_time,Cairo,2023-01-18 14:05:44
f009216d-6bb3-4932-9d39-c0a0260fe532,2022-11-04,occasional,Giza,2022-11-04 19:56:09
59623c82-0e97-4956-852f-a3a7de307bca,2023-10-28,one_time,Alex,2023-10-28 15:32:01
4b13b315-a016-45c6-b6b8-2303851fcfc9,2023-08-29,occasional,Mansoura,2023-08-29 13:53:19
aa98109c-bd46-478c-b0e3-bf27771ebb3b,2023-01-23,one_time,Alex,2023-01-23 17:55:08
dbedf751-9fe9-439e-b500-26e8607875b7,2023-08-30,occasional,Giza,2023-08-30 14:30:47
3e011bd8-ad90-4164-89e5-e97c8fb82f02,2023-09-11,occasional,Giza,2023-09-11 05:07:59
